,name,coauthors
1660,Chuanfei Dong,Xiaohua Fang
1663,Chuanfei Dong,David L Mitchell
1666,Chuanfei Dong,Robert Lillis
1669,Chuanfei Dong,James P McFadden
1672,Chuanfei Dong,John EP Connerney
1675,Chuanfei Dong,Gabor Toth
1678,Chuanfei Dong,Shaosui Xu
1681,Chuanfei Dong,Andrew F Nagy
1684,Chuanfei Dong,Gina A. DiBraccio
1687,Chuanfei Dong,Liang Wang
1690,Chuanfei Dong,Manasvi Lingam
1693,Chuanfei Dong,Christina O Lee
1696,Chuanfei Dong,Kai Germaschewski
1699,Chuanfei Dong,Dave Pawlowski
1702,Chuanfei Dong,Michael Liemohn
1705,Chuanfei Dong,Valeriy Tenishev
1708,Chuanfei Dong,Roberto Livi
1711,Chuanfei Dong,Vladimir Airapetian
1714,Chuanfei Dong,Meng Jin
1717,Chuanfei Dong,Amitava Bhattacharjee
1720,Chuanfei Dong,Karl Krushelnick
1723,Chuanfei Dong,Carol Paty
1726,Chuanfei Dong,Ofer Cohen
1729,Chuanfei Dong,Yi-Min Huang
1732,Chuanfei Dong,Peng Zhang
1735,Chuanfei Dong,Ronald Gilgenbach
1738,Chuanfei Dong,Tamas Gombosi
1741,Chuanfei Dong,Xiangrong Fu
1744,Darrell J. Irvine,Gregory L Szeto
1745,Darrell J. Irvine,Anna Bershteyn
1746,Darrell J. Irvine,Francesco Stellacci
1747,Darrell J. Irvine,Haipeng Liu
1748,Darrell J. Irvine,James Moon
1749,Darrell J. Irvine,Adrienne V. Li
1750,Darrell J. Irvine,Randy Carney, Ph.D.
1751,Darrell J. Irvine,Younjin Min
1752,Darrell J. Irvine,J. Christopher Love
1753,Darrell J. Irvine,Oktay Uzun
1754,Darrell J. Irvine,Margaret Ackerman
1755,Darrell J. Irvine,Vinay S Mahajan
1756,Darrell J. Irvine,Jin-Wook Yoo
1757,Darrell J. Irvine,Joshua Katz
1758,Darrell J. Irvine,Reid C. Van Lehn
1759,Darrell J. Irvine,Todd M. Allen
1760,Darrell J. Irvine,Bruno Gander
1761,Darrell J. Irvine,Aaron Dinner
1762,Darrell J. Irvine,Florencia Pereyra
1763,Darrell J. Irvine,Karthik Shekhar
1764,Darrell J. Irvine,Junsang Doh
1765,Mohannad Ismail,Changwoo Min
1768,Mohannad Ismail,Wook-Hee Kim
1771,Mohannad Ismail,R. Madhava Krishnan
1774,Mohannad Ismail,Xinwei Fu
1777,Mohannad Ismail,Dongyoon Lee
1780,Mohannad Ismail,Jaeho Kim
1783,Mohannad Ismail,Yeongjin Jang
1786,Baek-Kyoo (Brian) Joo,Ji Hoon Song
1791,Baek-Kyoo (Brian) Joo,Seung Won Yoon
1796,Baek-Kyoo (Brian) Joo,Sunyoung Park
1801,Baek-Kyoo (Brian) Joo,Sung Jun Jo
1806,Baek-Kyoo (Brian) Joo,Hea Jun Yoon
1811,Baek-Kyoo (Brian) Joo,Jong Gyu Park
1816,Baek-Kyoo (Brian) Joo,Kim Nimon
1821,Baek-Kyoo (Brian) Joo,Gil Bozer, PhD
1826,Baek-Kyoo (Brian) Joo,Kathryn J Ready
1831,Baek-Kyoo (Brian) Joo,Thomas J. Chermack
1836,Baek-Kyoo (Brian) Joo,Dae Seok Chai
1841,Baek-Kyoo (Brian) Joo,Brad Shuck
1846,Baek-Kyoo (Brian) Joo,drea zigarmi
1851,Baek-Kyoo (Brian) Joo,Soebin Jang
1856,Baek-Kyoo (Brian) Joo,Suhyung Lee
1861,Baek-Kyoo (Brian) Joo,Shinhee Jeong
1866,Baek-Kyoo (Brian) Joo,Marvin Bontrager
1871,Kai Xi (袭锴）,Jiangjiang Gu（顾江江）
1873,Kai Xi (袭锴）,Qiuhong Zhang
1875,Kai Xi (袭锴）,Xinle Li
